datetime,episode,steps,return,epsilon
2025-10-28 23:17:42,1,47,-10.47,0.1
2025-10-28 23:17:42,2,849,-18.49,0.099
2025-10-28 23:17:42,3,292,-2.92,0.099
2025-10-28 23:17:42,4,144,-1.44,0.098
2025-10-28 23:17:42,5,56,-10.56,0.098
2025-10-28 23:17:42,6,36,-10.36,0.097
2025-10-28 23:17:42,7,300,-13.0,0.097
2025-10-28 23:17:42,8,31,-10.31,0.096
2025-10-28 23:17:42,9,65,-0.65,0.096
2025-10-28 23:17:42,10,235,-2.35,0.095
2025-10-28 23:17:42,11,187,8.13,0.095
2025-10-28 23:17:42,12,29,-10.29,0.094
2025-10-28 23:17:42,13,102,-1.02,0.094
2025-10-28 23:17:42,14,65,9.35,0.093
2025-10-28 23:17:42,15,34,-10.34,0.093
2025-10-28 23:17:42,16,2000,-10.0,0.092
2025-10-28 23:17:42,17,211,37.89,0.092
2025-10-28 23:17:42,18,251,37.49,0.091
2025-10-28 23:17:42,19,87,29.13,0.091
2025-10-28 23:17:42,20,41,-0.41,0.09
2025-10-28 23:17:42,21,20,-10.2,0.09
2025-10-28 23:17:42,22,35,-0.35,0.09
2025-10-28 23:17:42,23,124,38.76,0.089
2025-10-28 23:17:42,24,76,29.24,0.089
2025-10-28 23:17:42,25,70,-0.7,0.088
2025-10-28 23:17:42,26,28,-10.28,0.088
2025-10-28 23:17:42,27,113,28.87,0.087
2025-10-28 23:17:42,28,111,38.89,0.087
2025-10-28 23:17:42,29,204,47.96,0.086
2025-10-28 23:17:42,30,73,9.27,0.086
2025-10-28 23:17:42,31,133,28.67,0.086
2025-10-28 23:17:42,32,44,9.56,0.085
2025-10-28 23:17:42,33,29,9.71,0.085
2025-10-28 23:17:42,34,23,-0.23,0.084
2025-10-28 23:17:42,35,83,9.17,0.084
2025-10-28 23:17:42,36,175,58.25,0.083
2025-10-28 23:17:42,37,154,58.46,0.083
2025-10-28 23:17:42,38,31,-10.31,0.083
2025-10-28 23:17:42,39,91,29.09,0.082
2025-10-28 23:17:42,40,173,58.27,0.082
2025-10-28 23:17:42,41,361,96.39,0.081
2025-10-28 23:17:42,42,38,-0.38,0.081
2025-10-28 23:17:42,43,278,87.22,0.081
2025-10-28 23:17:42,44,149,38.51,0.08
2025-10-28 23:17:42,45,90,9.1,0.08
2025-10-28 23:17:42,46,159,38.41,0.079
2025-10-28 23:17:42,47,182,78.18,0.079
2025-10-28 23:17:42,48,192,38.08,0.079
2025-10-28 23:17:42,49,174,48.26,0.078
2025-10-28 23:17:42,50,154,28.46,0.078
2025-10-28 23:17:42,51,205,47.95,0.077
2025-10-28 23:17:42,52,250,87.5,0.077
2025-10-28 23:17:42,53,140,68.6,0.077
2025-10-28 23:17:42,54,159,48.41,0.076
2025-10-28 23:17:42,55,126,28.74,0.076
2025-10-28 23:17:42,56,96,29.04,0.076
2025-10-28 23:17:42,57,221,67.79,0.075
2025-10-28 23:17:42,58,216,47.84,0.075
2025-10-28 23:17:42,59,201,47.99,0.074
2025-10-28 23:17:42,60,309,106.91,0.074
2025-10-28 23:17:42,61,213,67.87,0.074
2025-10-28 23:17:42,62,171,38.29,0.073
2025-10-28 23:17:42,63,226,37.74,0.073
2025-10-28 23:17:42,64,242,67.58,0.073
2025-10-28 23:17:42,65,67,-0.67,0.072
2025-10-28 23:17:42,66,16,-10.16,0.072
2025-10-28 23:17:42,67,16,-10.16,0.071
2025-10-28 23:17:42,68,264,27.36,0.071
2025-10-28 23:17:42,69,126,8.74,0.071
2025-10-28 23:17:42,70,246,37.54,0.07
2025-10-28 23:17:42,71,116,28.84,0.07
2025-10-28 23:17:42,72,185,48.15,0.07
2025-10-28 23:17:42,73,99,29.01,0.069
2025-10-28 23:17:42,74,216,57.84,0.069
2025-10-28 23:17:42,75,29,-0.29,0.069
2025-10-28 23:17:42,76,281,67.19,0.068
2025-10-28 23:17:42,77,166,58.34,0.068
2025-10-28 23:17:42,78,214,97.86,0.068
2025-10-28 23:17:42,79,290,57.1,0.067
2025-10-28 23:17:42,80,103,-1.03,0.067
2025-10-28 23:17:42,81,483,95.17,0.067
2025-10-28 23:17:42,82,67,39.33,0.066
2025-10-28 23:17:42,83,275,67.25,0.066
2025-10-28 23:17:42,84,106,48.94,0.066
2025-10-28 23:17:42,85,247,77.53,0.065
2025-10-28 23:17:42,86,177,48.23,0.065
2025-10-28 23:17:42,87,148,38.52,0.065
2025-10-28 23:17:42,88,71,39.29,0.064
2025-10-28 23:17:42,89,38,-10.38,0.064
2025-10-28 23:17:42,90,533,114.67,0.064
2025-10-28 23:17:42,91,122,28.78,0.063
2025-10-28 23:17:42,92,238,67.62,0.063
2025-10-28 23:17:42,93,25,-0.25,0.063
2025-10-28 23:17:42,94,131,-1.31,0.062
2025-10-28 23:17:43,95,262,67.38,0.062
2025-10-28 23:17:43,96,72,-0.72,0.062
2025-10-28 23:17:43,97,230,77.7,0.061
2025-10-28 23:17:43,98,47,-0.47,0.061
2025-10-28 23:17:43,99,148,-1.48,0.061
2025-10-28 23:17:43,100,315,46.85,0.061
2025-10-28 23:17:43,101,259,77.41,0.06
